ltable_id,rtable_id
16338439,73147765
73147765,11564664
11564664,68891313
68891313,9299426
9299426,43974669
43974669,27957137
27957137,4129196
4129196,61533965
61533965,95301599
83480362,80932957
80932957,26425849
26425849,89520680
89520680,1329026
1329026,81158427
81158427,59990261
59990261,37879130
37879130,49634763
29688470,94788371
94788371,46246978
46246978,71471222
71471222,67556867
67556867,56798312
56798312,4223201
8680758,70728429
70728429,57742292
57742292,23708769
23708769,33563667
33563667,2860056
2860056,62631842
62631842,17217153
17217153,42047312
42047312,73382141
73382141,58504634
58504634,9016004
9016004,28507224
28507224,3084321
3084321,15662668
51984550,89749927
89749927,57937744
57937744,92817369
92817369,59459274
59459274,43876521
43876521,21122556
21122556,48803391
48803391,97348432
26844226,74983296
74983296,45014189
45014189,17491151
17491151,23351642
23351642,28153818
28153818,12151323
12151323,32238895
32238895,45157616
45157616,76750630
76750630,21581881
23809182,70225094
70225094,57298257
57298257,66740059
66740059,42341716
42341716,67106226
67106226,5843382
5843382,76176942
76176942,37467418
37467418,44618699
44618699,26774090
26774090,36984659
36984659,10521942
10521942,37936289
23836667,22308275
22308275,43409810
43409810,22934815
22934815,49066670
49066670,89529710
89529710,65825803
53099378,43224065
43224065,30102415
30102415,82858473
82858473,31531912
31531912,38885854
38885854,74526925
74526925,60712
85554698,68284224
68284224,47988383
47988383,51785841
51785841,94106554
94106554,36469366
36469366,19778721
19778721,18456007
18456007,19580618
19580618,48124573
64888074,89362627
89362627,74456310
74456310,64417774
64417774,54038893
54038893,24424619
24424619,50155742
50155742,67326814
67326814,31886989
31886989,46090644
46090644,31177536
31177536,83211359
83211359,82269040
82269040,112804
112804,98066391
91116388,61690853
61690853,15774916
15774916,38919022
38919022,97634734
97634734,94141377
94141377,76436896
43443246,84771715
84771715,39924028
39924028,75488221
75488221,71957793
71957793,60121656
60121656,98165579
98165579,93836358
93836358,33133828
33133828,22216118
22216118,1970599
25360513,53125631
53125631,544991
544991,74659398
74659398,29553137
29553137,30875366
30875366,62172007
27087295,89973207
89973207,2798076
2798076,4358136
4358136,90497961
90497961,13312849
13312849,67254699
67254699,12032039
12032039,16421267
16421267,76448251
76448251,35705561
35705561,65392801
17553753,26095201
26095201,5494884
5494884,95963025
95963025,55471505
55471505,41704902
41704902,69912633
69912633,11149251
11149251,15081806
15081806,90976817
90976817,22650533
78194247,29319775
29319775,8733542
8733542,25106018
25106018,804681
804681,63984980
63984980,4541509
4541509,25407477
25407477,44698167
44698167,31177984
31177984,67439501
67439501,79605689
79605689,13696312
13696312,6078672
7344796,21367693
21367693,33538650
33538650,11453264
11453264,30639668
30639668,46111836
46111836,87637930
87637930,47448449
47448449,35951391
35951391,43895439
43895439,57619335
57619335,64518758
64518758,85223368
85223368,39520289
39520289,20944802
12997946,37427126
37427126,29478614
29478614,64181180
64181180,33078108
33078108,36295476
36295476,50176096
50176096,81572383
66020255,51758990
51758990,51520804
51520804,90806148
90806148,2187806
2187806,31420404
31420404,43789069
43789069,39670388
39670388,47955451
53299737,1773920
1773920,72379446
72379446,65414283
65414283,81212084
81212084,24351127
24351127,50492036
50492036,95267942
52216082,27758157
27758157,67676024
67676024,21668308
21668308,19411291
19411291,95556513
95556513,17891238
23220008,60131715
60131715,12476892
12476892,3223487
3223487,20456341
20456341,231364
231364,26703379
9867732,60604702
60604702,91369139
91369139,60447783
60447783,42128318
42128318,16623046
16623046,18480165
18480165,77427895
77427895,60776561
60776561,9513553
9513553,43547655
43547655,51670299
51670299,96656974
96656974,16398395
21944667,96980573
96980573,68595024
68595024,72819377
72819377,52992150
52992150,47511536
47511536,12422845
33760207,68374441
68374441,34388814
34388814,41944826
41944826,59324937
59324937,63595157
63595157,90493626
13469096,18996777
18996777,24052138
24052138,64536135
64536135,78541132
78541132,3453057
3453057,44542160
457768,64941287
64941287,32586695
32586695,63700148
63700148,75355798
75355798,1707364
1707364,87367093
87367093,14965818
14965818,46979351
46979351,59536106
59536106,12120697
12120697,61498847
61498847,12761549
12761549,2166055
2166055,83113335
34298415,45136761
45136761,13238453
13238453,43411151
43411151,62927088
62927088,2056076
2056076,10298203
10298203,24381109
24381109,24223712
24223712,19629560
19629560,57530241
57530241,34748897
34748897,52361746
52361746,94570035
94570035,62261095
19673382,38024744
38024744,20125915
20125915,17638679
17638679,95477481
95477481,7979158
7979158,3728953
3728953,6930754
6930754,39605243
39605243,51982574
54164067,58269311
58269311,73960273
73960273,71230660
71230660,88168633
88168633,36151198
36151198,93974675
93974675,13216102
13216102,60241463
60241463,50012636
77697394,45125692
45125692,70349654
70349654,61794834
61794834,45770332
45770332,98423908
98423908,77338417
77338417,94982317
94982317,12353703
50944297,51855709
51855709,57706537
57706537,95164652
95164652,53832391
53832391,36580730
36580730,82090972
82090972,84821763
84821763,89757104
89757104,50794404
52086898,6214990
6214990,19906097
19906097,1970598
1970598,80250895
80250895,87259085
87259085,61791022
61791022,16934958
16934958,75997111
75997111,25446597
25446597,71952052
71952052,46652889
46652889,52005921
52005921,19467145
19467145,91664569
39528474,38229177
38229177,31298513
31298513,43938025
43938025,11782965
11782965,66810868
66810868,84899710
84899710,31092129
31092129,7189556
7189556,32095160
32095160,12748766
78253269,24366661
24366661,8499589
8499589,96915118
96915118,26786850
26786850,35410623
35410623,65894144
65894144,33918678
17212553,48406238
48406238,11409646
11409646,68812834
68812834,8298432
8298432,54420990
54420990,27072079
75776258,87653966
87653966,40963162
40963162,50775039
50775039,42210935
42210935,50547404
50547404,39729230
97028330,35307953
35307953,91929224
91929224,12051271
12051271,81621854
81621854,1761309
1761309,37238928
37238928,55696124
29326164,70518638
70518638,81885728
81885728,36425270
36425270,15804397
15804397,14654897
14654897,57657334
57657334,70833173
77502844,35792541
35792541,67614478
67614478,15698882
15698882,92858368
92858368,82474920
82474920,55529309
55529309,66728745
36658258,64191452
64191452,10551504
10551504,62429594
62429594,52917835
52917835,66312167
66312167,37439609
37439609,15556925
15556925,23340250
23340250,81037430
81037430,90526528
90526528,7437957
7437957,66492116
66492116,42453067
42453067,70463691
24856378,77791574
77791574,65953977
65953977,27966987
27966987,16403660
16403660,83268273
83268273,96232718
96232718,25536211
54808619,9646081
9646081,98779336
98779336,10327275
10327275,98041228
98041228,64607522
64607522,91625850
91625850,48678537
48678537,78767900
78767900,33633736
33633736,22804415
54954273,54697856
54697856,88773659
88773659,85173141
85173141,34446457
34446457,27976942
27976942,52438681
52438681,61868091
61868091,5489545
5489545,22501265
22501265,47146148
47146148,23816635
23816635,35392050
35392050,60950283
4984777,80827079
80827079,81969240
81969240,72314218
72314218,9746845
9746845,36159614
36159614,98223170
98223170,12655453
12655453,95721809
63451176,25817481
25817481,84528711
84528711,23802255
23802255,27166337
27166337,75288274
75288274,94565040
21266898,96920840
96920840,38238728
38238728,56459937
56459937,51400506
51400506,32711456
32711456,16009557
38415767,62825929
62825929,76893002
76893002,26086635
26086635,96037332
96037332,40521037
40521037,60735508
60735508,55203154
85472408,72910194
72910194,18365395
18365395,18123170
18123170,54296266
54296266,36040842
36040842,1195010
1195010,70327361
70327361,62527996
62527996,42577492
42577492,62423305
62423305,23092603
23092603,56831449
56831449,36099686
36099686,17815464
58597448,94886095
94886095,87046884
87046884,92704095
92704095,82155959
82155959,46363798
46363798,62071414
84301060,26102262
26102262,87426005
87426005,36022457
36022457,10718715
10718715,17813216
17813216,62248973
62248973,25935656
39164471,68075793
68075793,24360041
24360041,11199708
11199708,15001240
15001240,44933260
44933260,46276597
46693236,56993303
56993303,55268831
55268831,46441935
46441935,13938844
13938844,80103776
80103776,83673256
83673256,48448790
25758185,14287942
14287942,45633828
45633828,32239506
32239506,47200708
47200708,32150368
32150368,12470959
70919736,3079056
3079056,54553525
54553525,83418921
83418921,82122672
82122672,69388758
69388758,76444235
76444235,3285479
3285479,6787878
6787878,84438504
84438504,83187166
83187166,94045872
94045872,29524431
11113121,66806426
66806426,22194288
22194288,10080614
10080614,72558082
72558082,39417365
39417365,65110774
65110774,70233715
70233715,86108652
86108652,76507982
88491960,25096603
25096603,2237025
68819356,77343216
5563597,48734489
48734489,23276091
69062083,93750350
74111438,77641222
2563741,14625144
56698149,61917173
61917173,94391133
58579542,44382672
44382672,92598888
31807881,31211996
31211996,7987227
7987227,86890239
81156834,14948679
14948679,69249199
69249199,52322597
59622337,83360042
83360042,22550534
92164114,17837225
17837225,41763354
83907242,58889567
58889567,52074266
52074266,67880656
52215636,24700471
24700471,38669053
68816219,27991754
27991754,54702023
54702023,96667020
5388121,51710206
51710206,98314225
10826204,31587846
31587846,51215765
15311130,65979382
56147494,35971669
35971669,9716045
9716045,1029315
83244081,70600296
